entry_time,zone_created_time,label,session,m15_return_12_atr,h1_above_ema200,h1_ema200_slope_nonnegative,h4_above_ema200,h4_ema200_slope_nonnegative,m15_above_ema200,dynamic_opportunity_score,dynamic_grade,entry_result,realized_r_after_cost
2021-01-07 06:00:00,2021-01-04 17:00:00,weak,asia,-3.4383172256961934,False,True,True,True,False,0.25,Blocked,hit_target,0.45
2021-01-07 10:30:00,2021-01-07 07:15:00,weak,london_open,-0.4655679811655001,False,False,True,True,False,1.2999999999999998,Blocked,hit_target,0.45
2021-01-15 08:30:00,2021-01-15 04:30:00,weak,london_open,-0.9465977605513004,False,False,False,False,False,0.7999999999999999,Blocked,stopped,-1.05
2021-01-19 10:45:00,2021-01-19 09:30:00,weak,london_open,0.1892691170257041,False,False,False,False,True,0.7999999999999999,Blocked,hit_target,0.45
2021-01-26 01:15:00,2021-01-25 11:30:00,weak,asia,-3.784883720930614,False,False,False,False,False,-0.25,Blocked,hit_target,0.45
2021-02-01 06:00:00,2021-01-27 11:15:00,weak,asia,-4.3826496301277205,False,False,False,False,False,-0.25,Blocked,hit_target,0.45
2021-02-01 08:15:00,2021-02-01 07:00:00,weak,london_open,-0.4399057344856816,False,False,False,False,False,0.7999999999999999,Blocked,unresolved,-0.05
2021-02-02 16:00:00,2021-02-02 14:00:00,weak,ny_open,3.1680837148463623,False,False,False,False,False,0.7999999999999999,Blocked,unresolved,-0.05
2021-02-08 08:45:00,2021-02-08 06:30:00,medium,london_open,1.1125827814567997,False,False,False,False,True,1.7999999999999998,Blocked,hit_target,0.45
2021-02-09 08:15:00,2021-02-09 07:45:00,weak,london_open,-1.1565217391305378,True,True,True,False,True,-0.95,Blocked,hit_target,0.45
2021-02-17 11:30:00,2021-02-17 10:15:00,weak,london_midday,-0.6335078534033446,False,False,False,False,False,2.25,Watch,hit_target,0.45
2021-03-24 13:15:00,2021-03-24 11:00:00,weak,london_midday,0.7587890624998247,False,False,False,False,False,2.25,Watch,stopped,-1.05
2021-05-18 09:45:00,2021-05-18 09:00:00,weak,london_open,0.7189542483657889,True,True,True,True,True,2.3,Watch,unresolved,-0.05
2021-05-21 13:15:00,2021-05-19 16:30:00,strong,london_midday,-1.1830122591945256,True,True,True,True,False,2.75,Watch,hit_target,0.45
2021-05-25 09:00:00,2021-05-25 08:30:00,weak,london_open,-0.2767950052030998,True,True,True,True,True,2.3,Watch,unresolved,-0.05
2021-06-02 09:30:00,2021-06-02 09:00:00,strong,london_open,3.1050583657584805,False,False,True,True,False,2.45,Watch,hit_target,0.45
